termo_busca,produto,tipo,gateway,nicho,temperatura,mencoes,faixa_preco,primeira_vez_visto,rodadas_visto,descricao,evidencia_url
"na ultima quarta feira","na ultima quarta feira","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Boa noite. Fiz a compra de um produto na ultima quarta feira (26/08/20226) e até essa data eu não recebi o produto.Receb... Produto não recebido e dificuldade de acesso ao material digital; com falha no reembolso e suporte ineficaz.","https://www.reclameaqui.com.br/empresa/cakto-pay/produto-nao-recebido-e-dificuldade-de-acesso-ao-material-digital-com-falha-no-reembolso-e-suporte-ineficaz_iOzRmbylQ4neQezT/"
"ia academy","IA Academy","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","R$ 197;99;","2026-09-04","4","Realizei no dia 01/09/2026 uma compra através da plataforma Cakto; referente ao produto IA Academy; no valor de R$ 197;99; pa... Solicitação de cancelamento e reembolso de curso online não respondido pelo produtor.","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-cancelamento-e-reembolso-de-curso-online-nao-respondido-pelo-produtor_ddqfFY8ufw0eiA3F/"
"comunidade knights club","COMUNIDADE KNIGHTS CLUB","angulo","Cakto","Comunidades / Mentoria de negócios","fria","1","","2026-09-04","4","SOLICITAÇÃO DE REEMBOLSO NÃO CUMPRIDA PAGAMENTO VIA PIXNo dia 21/08/2026; realizei a compra da COMUNIDADE KNIGHTS ... Reembolso de compra via Pix não realizado após solicitação dentro do prazo legal.","https://www.reclameaqui.com.br/empresa/cakto-pay/reembolso-de-compra-via-pix-nao-realizado-apos-solicitacao-dentro-do-prazo-legal_w1bmesmQpVhI5h0M/"
"low ticket do zero 2.0 no dia 30","Low Ticket do Zero 2.0 no dia 30","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Realizei a compra do produto Low Ticket do Zero 2.0 no dia 30/08/2026. Após acessar o produto; constatei que ele não atendeu ... Solicitação de cancelamento e reembolso negada por falta de saldo na conta do produtor.","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-cancelamento-e-reembolso-negada-por-falta-de-saldo-na-conta-do-produtor_g_uRVUXcpBO7YtT5/"
"chamado f","chamado F","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Dia 27/08/2026 comprei um produto chamado Fábrica Viral; não recebi o material no e-mail e o produtor não respondeu a minha t... Comprei um produto; não recebi e não consigo pedir reembolso","https://www.reclameaqui.com.br/empresa/cakto-pay/comprei-um-produto-nao-recebi-e-nao-consigo-pedir-reembolso_kESf7mBZQ-lYpUvb/"
"comunidade vsa","COMUNIDADE VSA","marca","Cakto","Marketing / Comunidades de negócios","fria","1","R$ 248;89.","2026-09-04","5","","https://www.reclameaqui.com.br/empresa/cakto-pay/solicitacao-de-reembolso-de-compra-com-erro-de-saldo-na-conta-do-vendedor_e5d-tH3gUGahNktM/"
"retrato da sua alma gêmea","Retrato da Sua Alma Gêmea","marca","Cakto","Arte personalizada / IA generativa","fria","1","","2026-09-04","5","Olá; equipe da Cakto Pay;No dia 28/08/2026; realizei a compra do produto &quot;Retrato da Sua Alma Gêmea&quot; (Código do Ped... [Editado pelo Reclame Aqui] e solicitação de estorno para produto &quot;Retrato da Sua Alma Gêmea&quot;","https://www.reclameaqui.com.br/empresa/cakto-pay/editado-pelo-reclame-aqui-e-solicitacao-de-estorno-para-produto-retrato-da-sua-alma-gemea_H8ihRLGIEQMZ9WSb/"
"digital n","digital n","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Comprei dois produtos digitais que não foram entregues. RA Ads","https://www.reclameaqui.com.br/perfectpay/produto-digital-nao-entregue_BJSp7nt8u2UDuoYS/"
"curso de yoga n","curso de yoga n","angulo","Cakto","Educação e consultoria","fria","1","","2026-09-04","4","Prezados; esta manha fiz uma compra (+108 Posturas de Yoga Ilustradas; plano premium). Nao recebi o produto; recebi outra coisa e nao consta na area da Cakto Members. Paguei com Pix. O link do reembolso nao funciona; sempre a mesma mensagem: "Não foi possível confirmar o código. Tente novamente". Entrei em contato com o vendedor; sem resposta. Mandei email para a Cakto; sem resposta.","https://www.reclameaqui.com.br/cakto-pay/compra-de-curso-de-yoga-nao-recebida-link-de-reembolso-inoperante-e-falta-de-contato-do-vendedorsuporte_zv5I8nnWtCj3LtbF/"
"que era pelo gmail mandei a mensagem expl","que era pelo Gmail mandei a mensagem expl","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz uma compra de ferramenta inteligência artificial o acesso pelo cakto mas algumas das principais funções da ferramenta; como o motion control usei 121 de crédito a plataforma não gerou o vídeo e não voltou os créditos até então não gostei da ferramenta eu quis meu reembolso quando fui tentar fazer o reembolso a plataforma do cakto falou que era só com o suporte do produto que era pelo Gmail mandei a mensagem explicando que queria o reembolso não tive resposta aí entrei em contato pelo zap ele","https://www.reclameaqui.com.br/cakto-pay/reembolso-negado-e-falta-de-suporte-para-ferramenta-de-ia-nao-funcional_k4Zr32LLud7_uMfl/"
"digital apexshop vital","digital ApexShop Vital","angulo","PerfectPay","Streaming e entretenimento","fria","1","R$ 179;90;","2026-09-04","4","Realizei em 24/08/2026 a compra do produto digital ApexShop Vitalício; no valor de R$ 179;90; por meio da plataforma Perfect Pay. Logo após a contratação; solicitei formalmente o cancelamento da compra e a restituição integral do valor pago; dentro do prazo informado e previsto para o direito de arrependimento. Ao entrar em contato com a Perfect Pay; fui orientada a procurar diretamente o suporte do produto e; caso não recebesse resposta em até 2 dias úteis; deveria encaminhar os comprovantes da","https://www.reclameaqui.com.br/perfectpay/perfect-pay-nao-resolve-cancelamento-e-reembolso-repetindo-orientacoes_zJl8k8FgpoKAMXba/"
"um usu","um usu","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra de um usuário da aplicação e não recebi o que estava sendo anunciado e pedir reembolso e enviei vários e-mails e sempre dando uma desculpa e não fez o reembolso mandando entrar em contato com o vendedor e ao entrar em contato o e-mail do vendedor não funciona e não tem telefone pra contato sendo assim a perfectpay fica enrolando pra fazer o [Editado pelo Reclame Aqui] RA Ads","https://www.reclameaqui.com.br/perfectpay/reclamacao-sobre-produto-nao-recebido-e-dificuldade-de-reembolso-na-perfect-pay_zlFPokdZpRPcKoYM/"
"digital ap","digital ap","angulo","Cakto","Espionagem e rastreamento","fria","1","R$ 88;19;","2026-09-04","4","Realizei a compra do produto +600 Horas de Roteiros Prontos para Live Shop; no dia 19/08/2026; pelo valor de R$ 88;19; pago via PIX. Após a compra; decidi não continuar com o produto e solicitei o cancelamento da compra e o reembolso do valor pago. No dia 24/08/2026; enviei uma solicitação por escrito pedindo formalmente o cancelamento e o reembolso; informando os dados da compra e o número do pedido. Até o momento; porém; não obtive uma solução para o meu pedido. Também tive dificuldades para e","https://www.reclameaqui.com.br/cakto-pay/cliente-solicita-cancelamento-e-reembolso-de-produto-digital-apos-dificuldades-de-contato-e-falta-de-solucao_iqfFFkNKnKahBQk5/"
"no dia","no dia","angulo","Cakto","Espionagem e rastreamento","fria","1","R$ 86;80","2026-09-04","4","Comprei um produto no dia **26/08** e; no mesmo dia; solicitei o reembolso; pois o produto recebido não correspondia ao que era prometido na oferta. Ao entrar em contato com a **Cakto**; fui informado de que o reembolso deveria ser solicitado diretamente ao produtor. Tentei contato com o produtor durante **3 dias**; mas não obtive nenhum retorno. No dia **29/08**; entrei novamente em contato com um atendente da Cakto pelo WhatsApp; porém também não tive retorno. Fiz uma nova tentativa de contato","https://www.reclameaqui.com.br/cakto-pay/reembolso-de-produto-nao-correspondente-a-oferta-apos-8-dias-de-tentativas-de-contato-sem-sucesso_vgLnIAw9NhALvEvt/"
"incompleto dentro do prazo de 7 dias. n","incompleto dentro do prazo de 7 dias. N","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra na caktos mais o produto veio incompleto pedi o reembolso dentro do 7 dias ..eles nao fizeram o reembolso. RA Ads","https://www.reclameaqui.com.br/cakto-pay/reembolso-nao-realizado-apos-devolucao-de-produto-incompleto-dentro-do-prazo-de-7-dias_ESBgjxHcHH6maS_a/"
"para poder solicitar o cancelamento","para poder solicitar o cancelamento","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz a compra de uma assinatura online; porém o serviço não me atendeu; eu solicitei o cancelamento dentro do prazo de 7 dias por e-mail no suporte da empresa; porém até hoje não tive o retorno sobre o cancelamento do pedido. Solicito o cancelamento e estorno eu valor. A empresa não tem nenhum campo no site deles ou do produto para poder solicitar o cancelamento; somente por e-mail; quando enviamos um e-mail só vem resposta automática; aguardo previdências. RA Ads","https://www.reclameaqui.com.br/cakto-pay/solicitacao-de-cancelamento-e-estorno-de-assinatura-online-nao-respondida-pelo-suporte_t696AVuN0Vj7PGWm/"
"perfect academy","Perfect Academy","marca","PerfectPay","Educação e consultoria / Cursos online","fria","1","","2026-09-04","4","Comprei um curso na perfect academy; mais o curso veio incompleto; fui tentar pedir meu reembolso; onde me deparei sem suport... Curso incompleto e falta de suporte para reembolso na Perfect Academy","https://www.reclameaqui.com.br/empresa/perfectpay/curso-incompleto-e-falta-de-suporte-para-reembolso-na-perfect-academy_xfFtbFJD4cncefLz/"
"aplicativo","aplicativo","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Eu adquiri uma compra pela [Editado pelo Reclame Aqui] prometendo acesso a um app pago e após pagar o aplicativo simplesmente... Cobrança indevida e solicitação de estorno após compra de aplicativo","https://www.reclameaqui.com.br/empresa/perfectpay/cobranca-indevida-e-solicitacao-de-estorno-apos-compra-de-aplicativo_k54KbhcZ8MWgLTn0/"
"tikedit pela perfectpay","TikEdit pela PerfectPay","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/recusa-de-reembolso-em-renovacao-automatica-de-produto-tikedit-pela-perfectpay_7DczqrMSjVJHqp26/"
"vendido pela appluna.net","vendido pela Appluna.net","angulo","PerfectPay","Outros","fria","1","","2026-09-04","4","A referida empresa; alega ser uma plataforma de gerenciamento de pagamentos online que informa não ter responsabilidade sobre... Perfectpay cobra por serviço; mas não resolve problemas de acesso ao produto vendido pela Appluna.net","https://www.reclameaqui.com.br/empresa/perfectpay/perfectpay-cobra-por-servico-mas-nao-resolve-problemas-de-acesso-ao-produto-vendido-pela_a5_1eWXf4MZ6sZZ7/"
"aparece na perfect pay mas o mesmo n","APARECE NA PERFECT PAY MAS O MESMO N","angulo","PerfectPay","Outros","fria","1","","2026-09-04","4","Fiz A COMPRA DE UM SERVIÇO NO QUAL É [Editado pelo Reclame Aqui] E O PRODUTO APARECE NA PERFECT PAY MAS O MESMO NÃO SE RESPO... Compra de serviço com promessa de [Editado pelo Reclame Aqui] e Perfect Pay se isenta de responsabilidade","https://www.reclameaqui.com.br/empresa/perfectpay/compra-de-servico-com-promessa-de-editado-pelo-reclame-aqui-e-perfect-pay-se-isenta-de-responsabilidade_0DOgqsLTHMXBEQUg/"
"receb... propaganda enganosa","receb... Propaganda enganosa","angulo","PerfectPay","Outros","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/propaganda-enganosa_zOGr7sPQQhH7ROqM/"
"plataforma home office","Plataforma Home Office","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Solicito o cancelamento e o reembolso do valor pago pelo produto Plataforma Home Office; vinculado ao e-mail ***** . O produt... Solicitação de cancelamento e reembolso de Plataforma Home Office por propaganda enganosa.","https://www.reclameaqui.com.br/empresa/perfectpay/solicitacao-de-cancelamento-e-reembolso-de-plataforma-home-office-por-propaganda-enganosa_Z3FnnwZ03NBXKWFQ/"
"de postagem autom","de postagem autom","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Comprei um produto ( inteligência artificial com + 10.700 vídeos) com a proposta de postagens automáticas na shopee vídeo; In... Reclamação sobre produto de postagem automática com cobranças adicionais; sem retorno do suporte ; sem liberação do prometido e com acesso restrito ao conteúdo;e falta de reembolso.","https://www.reclameaqui.com.br/empresa/perfectpay/reclamacao-sobre-produto-de-postagem-automatica-com-cobrancas-adicionais-sem-retorno-do-suporte-sem-liberacao-do-prometido-e-com-acesso-restrito-ao-conteudoe-falta-de-reembolso_6xa6Ai85fTyG0Yce/"
"acesso a conversas do instagram n","acesso a conversas do Instagram n","angulo","PerfectPay","Crescimento em redes sociais","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/compra-de-acesso-a-conversas-do-instagram-nao-realizada-e-solicitacao-de-reembolso_bEr04z5n0qvNdmJf/"
"códigos lucrativos","Códigos Lucrativos","angulo","PerfectPay","Ganhar dinheiro online / Ferramentas de afiliado","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/compra-de-aplicativos-editado-pelo-reclame-aqui-e-editado-pelo-reclame-aqui-solicitacao-de-reembolso_xx2YJjct0gsb0fGa/"
"zap radar","ZAP Radar","angulo","PerfectPay","Ferramentas de espionagem / WhatsApp","fria","1","","2026-09-04","4","Fiz uma compra no valor de 137;00 site ZAP radar e fui [Editado pelo Reclame Aqui] porque não abre um relatório. Peço o ... Solicitação de estorno de compra no site ZAP Radar por não recebimento de relatório.","https://www.reclameaqui.com.br/empresa/perfectpay/solicitacao-de-estorno-de-compra-no-site-zap-radar-por-nao-recebimento-de-relatorio_lZ9TTmWZxIG43bv7/"
"fica saindo e entrando sozinho","fica saindo e entrando sozinho","angulo","PerfectPay","Outros","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/nao-gostei-do-app-fica-saindo-e-entrando-sozinho_UkdzKQ86egq0egAP/"
"online","online","angulo","PerfectPay","Espionagem e rastreamento","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/compra-e-nao-recebi_IgLy-Z3TgKa5WfbK/"
"chamado protocolo black digital e comprei","chamado Protocolo Black Digital e comprei","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Eu comprei um produto chamado Protocolo Black Digital e comprei dois order bumps; e o produto é horrível; na hora de eu pedir... Impossibilidade de solicitar reembolso para o produto Protocolo Black Digital e order bumps.","https://www.reclameaqui.com.br/empresa/perfectpay/impossibilidade-de-solicitar-reembolso-para-o-produto-protocolo-black-digital-e-order-bumps_KUmvlWU2BBaqoLGc/"
"aplicativo viewerspy com tr","aplicativo ViewerSpy com tr","angulo","PerfectPay","Espionagem e rastreamento","fria","1","","2026-09-04","4","Fiz uma compra de aplicativo ViewerSpy com três pagamentos; mas se tratava de [Editado pelo Reclame Aqui]; quero meu dinheiro... [Editado pelo Reclame Aqui] em aplicativo ViewerSpy com cobrança indevida; solicitação de [Editado pelo Reclame Aqui].","https://www.reclameaqui.com.br/empresa/perfectpay/editado-pelo-reclame-aqui-em-aplicativo-viewerspy-com-cobranca-indevida-solicitacao-de-editado-pelo-reclame-aqui_4jVYpRQh7FZ9NsuM/"
"servi","servi","angulo","PerfectPay","Espionagem e rastreamento","fria","1","","2026-09-04","4","Fiz uma compra me garantindo acesso a fotos e conversas de um WhatsApp meu mesmo que perdi acesso; mas fui enganado paguei tu... Compra de serviço para recuperação de WhatsApp que direciona para página de curso.","https://www.reclameaqui.com.br/empresa/perfectpay/compra-de-servico-para-recuperacao-de-whatsapp-que-direciona-para-pagina-de-curso_9jbLXBtTk54j7-aK/"
"inexistente","inexistente","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/reclamacao-sobre-editado-pelo-reclame-aqui-e-solicitacao-de-editado-pelo-reclame-aqui-com-base-no-direito-de-arrependimento_SenuNicKKSMOvgEa/"
"uma ferramenta de automa","uma ferramenta de automa","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/solicitacao-de-cancelamento-e-reembolso-de-ferramenta-de-automacao-nao-recebida_3ia2l_X9I98IiU5Q/"
"simplesmente n","simplesmente n","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz a compra de um sistema multijogos da Retrogame Ramos; porém o produto simplesmente não funcionou. Solicitei o reembolso e... Reclamação sobre sistema multijogos não funcional e falta de reembolso pela Retrogame Ramos","https://www.reclameaqui.com.br/empresa/perfectpay/reclamacao-sobre-sistema-multijogos-nao-funcional-e-falta-de-reembolso-pela-retrogame-ramos_yXzSmLa6zWMj18Hq/"
"no valor de 97 reais que nao gostei pedi","no valor de 97 reais que nao gostei pedi","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","[Editado pelo Reclame Aqui]. comprei um produto no valor de 97 reais que nao gostei pedi o reembolso e ninguem resolve nada m... Reclamação sobre propaganda enganosa e dificuldade em obter reembolso de produto.","https://www.reclameaqui.com.br/empresa/perfectpay/reclamacao-sobre-propaganda-enganosa-e-dificuldade-em-obter-reembolso-de-produto_NexaAcyAJfkO5zUN/"
"quemetia trazer minha conta do free f","que prometia trazer minha conta do free f","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Quero reembolso do meu dinheiro; comprei um produto que prometia trazer minha conta do free fire de volta; mais era tudo [Edi... Produto de Free Fire prometia recuperar conta; mas era [Editado pelo Reclame Aqui] e cliente pede reembolso.","https://www.reclameaqui.com.br/empresa/perfectpay/produto-de-free-fire-prometia-recuperar-conta-mas-era-editado-pelo-reclame-aqui-e-cliente-pede-reembolso_6E9DzuuICeSs7-BW/"
"spygram","Spygram","marca","PerfectPay","Espionagem e rastreamento","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/solicitacao-de-reembolso-de-pagamentos-via-pix-para-o-programa-spygram-identificado-como-editado-pelo-reclame-aqui_tx5DRYfAycgJL_5j/"
"um curso de arais amador paguei e n","um curso de arais amador paguei e n","angulo","PerfectPay","Educação e consultoria","fria","1","","2026-09-04","4","Fiz uma compra de um curso de arais amador paguei e não recebi segue comprovante de pagamento Fui vítima de [Editado pelo Reclame Aqui]","https://www.reclameaqui.com.br/empresa/perfectpay/fui-vitima-de-editado-pelo-reclame-aqui_eaEOE7rI3vDh1NKM/"
"tudo dentro do prazo tudo certinho e ate","tudo dentro do prazo tudo certinho e ate","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","","https://www.reclameaqui.com.br/empresa/perfectpay/reembolso_3QFTCw6-Ygo025v1/"
"dois aplicativo e n","dois aplicativo e n","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","R$ 27;90","2026-09-04","4","Bom dia ! Fiz uma compra de dois aplicativo e não recebi o aplicativo; no valor de R$ 27;90 e outro de R$ 19;00 às 16:35 h no... Compra de aplicativos não recebidos; solicitação de reembolso.","https://www.reclameaqui.com.br/empresa/perfectpay/compra-de-aplicativos-nao-recebidos-solicitacao-de-reembolso_IVdC0jac41EFjNhF/"
"espia f","espia f","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Comprei o app espia fácil pro e não me deram o acesso. Quero reembolso Cair em um [Editado pelo Reclame Aqui]","https://www.reclameaqui.com.br/empresa/perfectpay/cair-em-um-editado-pelo-reclame-aqui_3GiaHX5kQ4C877x9/"
"um aplicativo de monitoramento pelo an","um aplicativo de monitoramento pelo an","angulo","PerfectPay","Espionagem e rastreamento","fria","1","","2026-09-04","4","Fiz uma compra de um aplicativo de monitoramento pelo anúncio no YouTube paguei 46.90 e levei um [Editado pelo Reclame Aqui] ... [Editado pelo Reclame Aqui] em aplicativo de monitoramento cliente solicita estorno de valor pago por produto não funcional.","https://www.reclameaqui.com.br/empresa/perfectpay/editado-pelo-reclame-aqui-em-aplicativo-de-monitoramento-cliente-solicita-estorno-de-valor-pago-por-produto-nao-funcional_nGia5bRqbVr80nh-/"
"um vendedor que usa os servi","um vendedor que usa os servi","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Efetuei uma compra de um vendedor que usa os serviços da perfect pay para pagamentos. O vendedor não enviou acesso ao produto... Reclamação sobre produto não entregue e solicitação de estorno de valor pago através da Perfect Pay.","https://www.reclameaqui.com.br/empresa/perfectpay/reclamacao-sobre-produto-nao-entregue-e-solicitacao-de-estorno-de-valor-pago-atraves-da-perfect-pay_87chbXy48Qb7cTPa/"
"no ... reembolso dentro do prazo","no ... reembolso dentro do prazo","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Solicitei reembolso dentro do prazo; mas não consigo contato com o vendedorAdquiri através da Perfect Pay um produto no ... reembolso dentro do prazo; mas não consigo contato com o vendedor após compra de produto com conteúdo enganoso.","https://www.reclameaqui.com.br/empresa/perfectpay/reembolso-dentro-do-prazo-mas-nao-consigo-contato-com-o-vendedor-apos-compra-de-produto-com-conteudo-enganoso_msDSOKrJ-W3coXfK/"
"grupo vip","grupo VIP","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Bem; eu fiz uma compra na segunda-feira de um grupo vip do js e não estou satisfeito; quero o meu reembolso; ja vou deixar es... Reembolso negado e falta de contato do suporte após compra de grupo VIP","https://www.reclameaqui.com.br/empresa/perfectpay/reembolso-negado-e-falta-de-contato-do-suporte-apos-compra-de-grupo-vip_l-3zMo_MYaiaFQbn/"
"e n","e n","angulo","PerfectPay","Serviços financeiros / Pix","fria","1","","2026-09-04","4","Fiz uma compra de um produto e não recebi; alegam que não foi pago; já reclamei várias vezes com o vendedor e até agora ele n... Produto não recebido e vendedor alega falta de pagamento; sem resolução.","https://www.reclameaqui.com.br/empresa/perfectpay/produto-nao-recebido-e-vendedor-alega-falta-de-pagamento-sem-resolucao_4ypAxIw4TPAzgFfj/"
"de baixa qualidade","de baixa qualidade","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-04","4","Fiz uma compra aonde prometia uma reza sagrada que faz prosperar e abrir caminhos; mas a reza não foi feita e me cobraram 3 v... Cobrança indevida e produto de baixa qualidade (PDF de IA) em vez de reza prometida.","https://www.reclameaqui.com.br/empresa/perfectpay/cobranca-indevida-e-produto-de-baixa-qualidade-pdf-de-ia-em-vez-de-reza-prometida_S22Bk6Gf4HfO6zVF/"
"um painel e n","um painel e n","angulo","PerfectPay","Infoprodutos - suporte e reembolso","fria","1","","2026-09-04","4","Fiz uma compra de um painel e não funcionou [Editado pelo Reclame Aqui] Solicito reembolso 19.99 [Editado pelo Reclame Aqui]","https://www.reclameaqui.com.br/empresa/perfectpay/editado-pelo-reclame-aqui_5xPVEL37uCq2Nl_s/"
