termo_busca,produto,tipo,gateway,nicho,temperatura,mencoes,faixa_preco,primeira_vez_visto,rodadas_visto,descricao,evidencia_url
"validação cadastral: em análise","Validação cadastral: Em análise","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","R$ 38;09","2026-09-01","3","Olá; equipe da Cakto.Estou com um problema sério em relação à validação dos meus documentos na plataforma. Realizei o envio do meu documento digital no dia 18 de agosto; e desde então o status permanece travado como "Validação cadastral: Em análise".Já se passaram semanas e o processo não avança. Por conta dessa demora na análise; não consigo realizar movimentações na minha conta. Atualmente; possuo um saldo de R$ 38;09 categorizado como "Disponível para transferir"; mas a opção de "Efetuar Saqu","https://www.reclameaqui.com.br/cakto-pay/demora-na-validacao-de-documentos-impede-movimentacao-e-saque-de-valores-na-plataforma-cakto_AxgK77MKxCN0UISD/"
"continua ativo","continua ativo","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-01","3","O produto continua ativo;sendo que não estou usando o serviço. RA Ads","https://www.reclameaqui.com.br/cakto-pay/cancelamento-de-assinatura-nao-realizado-e-cobranca-indevida-persistente_4mA_vDyxabA5d2h8/"
"manuscrito dos milagres","Manuscrito dos Milagres","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","R$ 99;00","2026-09-01","3","Realizei a compra do produto "Manuscrito dos Milagres" no valor de 99 reais através da plataforma de vocês. Trata-se de um [Editado pelo Reclame Aqui] que usa inteligência artificial com a imagem do ator Jonathan Roumie. O conteúdo não foi entregue e não abre. Como estou dentro do prazo legal de 7 dias previsto pelo Artigo 49 do Código de Defesa do Consumidor; exijo o cancelamento imediato e o estorno integral do valor Comprei um produto através da perfectpay Curso(s): Manuscrito dos Milagres Ap","https://www.reclameaqui.com.br/perfectpay/reclamacao-sobre-produto-manuscrito-dos-milagres-nao-entregue-e-solicitacao-de-estorno_YM7HDxei_9htWhyn/"
"youclone no dia 28","Youclone no dia 28","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","R$ 68;89","2026-09-01","3","Comprei o produto Youclone no dia 28/08; no pix. Quando fui entrar no curso; não abre a área de membros e não consigo assistir o curso. Na minha área de membros só tem um curso que eu comprei faz tempo. Detalhes do Pedido Pedido: ***** Data: 28/08/2026","https://www.reclameaqui.com.br/cakto-pay/cliente-nao-consegue-acessar-area-de-membros-do-curso-youclone-e-relata-falta-de-suporte_2aC8MLyewmAd3CCU/"
"na ultima quarta feira","na ultima quarta feira","angulo","Cakto","Infoprodutos - suporte e reembolso","fria","1","","2026-09-01","3","Boa noite. Fiz a compra de um produto na ultima quarta feira (26/08/20226) e até essa data eu não recebi o produto. Recebi o e-mail de confirmação do pagamento e um acesso pra fazer o download do material; mas não dá certo. Pra todo lugar que eles me enviam não dá certo. Falo com o pessoal do suporte e eles me deixam sem respostas. Só começam o atendimento. Pedi reembolso; também não dá certo. me mandaram 10 códigos de confirmação e com um segundo diz que expirou. tanto por E-mail quanto por cel","https://www.reclameaqui.com.br/cakto-pay/produto-nao-recebido-e-dificuldade-de-acesso-ao-material-digital-com-falha-no-reembolso-e-suporte-ineficaz_iOzRmbylQ4neQezT/"
"pelo qual paguei n","pelo qual paguei n","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-01","1","","https://www.reclameaqui.com.br/cakto-pay/solicitacao-de-reembolso-por-indisponibilidade-do-curso-corselet-classico_kKh1cXRxKbVwJRHp/"
"e conseguiu acess","e conseguiu acess","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","R$ 20;89","2026-09-01","1","","https://www.reclameaqui.com.br/cakto-pay/inconsistencias-na-contabilizacao-de-vendas-e-pagamentos-na-conta-cakto_KtH_3-H9eW4zj_bs/"
"um site hoje e quero solicitar o cancelam","um site hoje e quero solicitar o cancelam","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-01","1","","https://www.reclameaqui.com.br/cakto-pay/solicitacao-de-cancelamento-e-estorno-de-3-pedidos-devido-a-arrependimento-e-insatisfacao-com-o-produtosite_KUDEd8s3eGajQ3-L/"
"de seguran","de seguran","angulo","PerfectPay","Outros","fria","1","","2026-09-01","3","","https://www.reclameaqui.com.br/perfectpay/solicitacao-de-reembolso-de-pedido-com-codigo-de-transacao_poCcMMKbZVAkXZx9/"
"e a plataforma deveria no m","e a plataforma deveria no m","angulo","PerfectPay","Ferramentas de IA / Produtividade","fria","1","","2026-09-01","3","Fiz uma compra nessa plataforma e não consigo pedir o reembolso pois a plataforma alega não vender produto. Quero o reembolso pois não gostei do produto e a plataforma deveria no mínimo disponibilizar essa função no site. Segundo a plataforma eu tenho que entrar em contato com o responsável do produto; como irei pedir o reembolso pois o dono do produto não responde. ***** Numero do pedido da minha compra  Reembolso negado por plataforma que alega não vender o produto.","https://www.reclameaqui.com.br/perfectpay/reembolso-negado-por-plataforma-que-alega-nao-vender-o-produto_S-syATG5Z4eLNeZI/"
"stalkeia","Stalkeia","marca","PerfectPay","Espionagem e rastreamento","fria","1","R$ 401;40.","2026-09-01","3","O produto prometia acesso a contas e mensagens do Instagram; mas na verdade entrega apenas um aplicativo que simula a interface do Instagram e cria conversas artificiais. Ou seja; trata-se de um serviço [Editado pelo Reclame Aqui]; que não entrega o que anuncia. Eu testei com dois perfis diferentes e as mensagens são as mesmas; ou seja; [Editado pelo Reclame Aqui] e [Editado pelo Reclame Aqui]. Além disso; após um primeiro pagamento a plataforma vai nos induzindo a efetuar outras compras para co","https://www.reclameaqui.com.br/perfectpay/servico-editado-pelo-reclame-aqui-da-via-perfect-pay-com-promessa-editado-pelo-reclame-aqui_XI7_jZmAIuhQa5In/"
"de postagem autom","de postagem autom","angulo","PerfectPay","Espionagem e rastreamento","fria","1","","2026-09-01","3","Comprei um produto ( inteligência artificial com + 10.700 vídeos) com a proposta de postagens automáticas na shopee vídeo; Instagram e tiktok. Porém dentro da plataforma ; fui informada que teria que pagar mais um valor para integração com as plataformas; informaram que esse valor é pagamento único; para as plataformas liberarem a integração ( não fica nada com eles). Como meu intuito é as postagens automáticas; comprei. Enviei o comprovante; como solicitado e aguardei o prazo para eles ; entrar","https://www.reclameaqui.com.br/perfectpay/reclamacao-sobre-produto-de-postagem-automatica-com-cobrancas-adicionais-sem-retorno-do-suporte-sem-liberacao-do-prometido-e-com-acesso-restrito-ao-conteudoe-falta-de-reembolso_6xa6Ai85fTyG0Yce/"
"uma mentoria no dia 26 onde o reembolso e","uma mentoria no dia 26 onde o reembolso e","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-01","3","Fiz a compra de uma mentoria no dia 26 onde o reembolso era de responsabilidade do produtor; produtor esse que me ignorou por bastante tempo e disse ter efetuado o reembolso; coisa que eu não sei se aconteceu ou não; por que isso foi antes de ontem e lá na cakto ainda está como "pago" e não algo como "reembolso em andamento" ou coisa assim! Me disseram na última resposta que iam me mandar mensagem no contato cadastrado no reclame aqui; coisa que ainda não fizeram e o prazo pra reembolso é até am","https://www.reclameaqui.com.br/cakto-pay/reclamacao-sobre-reembolso-de-mentoria-nao-processado-e-falta-de-suporte_nV8WPHM4qJbjnUSu/"
"adquirido teria condi","adquirido teria condi","angulo","Cakto","Ferramentas de IA / Produtividade","fria","1","","2026-09-01","3","Venho solicitar a contestação de uma compra realizada referente à contratação de uma estrutura montada para geração de retorno financeiro. A contratação foi realizada acreditando que o serviço/produto adquirido teria condições de funcionar conforme apresentado pelos responsáveis pela estrutura. O problema é que; após a contratação e a montagem das estruturas; o resultado esperado não aconteceu. Além do valor já pago pela aquisição do produto/estrutura; posteriormente fui informado de que seria n","https://www.reclameaqui.com.br/cakto-pay/contestacao-de-compra-de-estrutura-para-geracao-de-retorno-financeiro-nao-concretizado-e-falta-de-informacao-sobre-investimentos-adicionais_CUW1-e-tTFELAg9M/"
